feature_name,feature_family,production_status,dependency,availability_at_t,future_information_risk,target_reference_risk,source_evidence_count,source_files,rationale,required_production_documentation,recommended_action
year,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
month,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
quarter,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
day_of_month,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
day_of_year,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
week_of_year,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
day_of_week,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
hour,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,17,app\ml\data\dataset_audit.py; app\ml\data\dataset_builder.py,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
minute,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,50,app\ml\data\dataset_builder.py; app\ml\data\temporal.py; app\ml\data\temporal_normalizer.py,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
half_hour_slot,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
time_slot,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
minutes_since_midnight,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
minutes_since_week_start,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_weekday,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_weekend,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_monday,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_tuesday,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_wednesday,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_thursday,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_friday,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_saturday,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
is_sunday,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
hour_sin,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
hour_cos,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
day_of_week_sin,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
day_of_week_cos,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
day_of_year_sin,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
day_of_year_cos,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
month_sin,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
month_cos,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_year,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_month,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_quarter,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_week_of_year,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_day_of_month,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_day_of_year,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_day_of_week,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_week_of_month,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
calendar_week_of_quarter,temporal_calendar,SAFE_DETERMINISTIC,PREDICTION_TIMESTAMP,YES,NONE,NONE_IDENTIFIED,0,,Feature can be deterministically calculated from the prediction timestamp and calendar context.,Document timestamp timezone and calendar conventions.,ALLOW_IN_PRODUCTION_FEATURE_SET
