feature,family,classification,prediction_time_status,confidence,current_state_dependency,source_fields,target_reference,future_reference,rolling_or_lag_reference,source_files,source_line_numbers,rationale,production_action
year,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"21, 24, 26, 55, 59, 60, 88, 89, 97, 98, 111, 117, 121, 124, 128, 129, 135, 156, 157, 402, 406, 410, 444, 448, 474, 478, 482, 554, 555, 705, 706, 729, 730, 735, 789, 790, 869, 872, 874, 875, 878, 879, 884, 888, 897, 901, 980, 981, 982, 984, 986, 987, 988, 990, 991, 994, 996, 998, 1000, 1003, 1006, 1007, 1009, 1010, 1013, 1015, 1377, 1378, 1386, 1387, 1392, 1393, 1439, 1441, 1443, 1455, 1457, 1574, 1577, 1579, 1784, 1790, 1794, 1808",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
month,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"22, 25, 31, 56, 58, 90, 91, 113, 119, 125, 127, 131, 158, 159, 185, 416, 420, 424, 460, 464, 504, 507, 509, 515, 525, 529, 541, 557, 558, 691, 694, 696, 697, 700, 701, 706, 711, 712, 716, 722, 723, 733, 734, 736, 739, 740, 746, 750, 762, 764, 765, 775, 776, 792, 846, 850, 858, 862, 915, 918, 919, 925, 929, 937, 941, 1019, 1024, 1025, 1028, 1032, 1038, 1040, 1044, 1046, 1092, 1118, 1219, 1220, 1380, 1381, 1389, 1390, 1398, 1399, 1421, 1423, 1425, 1427, 1435, 1437, 1447, 1449, 1575, 1578, 1581, 1583, 1786, 1792, 1798, 1804",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
quarter,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"23, 32, 57, 115, 126, 127, 133, 187, 430, 434, 438, 536, 539, 541, 544, 552, 558, 566, 569, 574, 575, 581, 585, 717, 718, 757, 760, 764, 775, 786, 795, 809, 810, 811, 818, 823, 832, 837, 846, 850, 858, 862, 1017, 1020, 1021, 1027, 1031, 1039, 1043, 1094, 1124, 1222, 1223, 1383, 1384, 1401, 1402, 1429, 1431, 1433, 1435, 1437, 1459, 1461, 1576, 1582, 1788, 1800, 1806",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
day_of_month,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"25, 58, 119, 127, 460, 464, 723, 1389, 1390, 1578, 1792",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
day_of_year,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"26, 59, 88, 89, 121, 128, 156, 157, 474, 478, 729, 986, 987, 994, 996, 998, 1000, 1006, 1007, 1009, 1010, 1013, 1015, 1392, 1393, 1455, 1457, 1579, 1794",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
week_of_year,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"24, 60, 97, 117, 129, 444, 448, 735, 1386, 1387, 1577, 1790",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
day_of_week,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"27, 61, 86, 87, 123, 130, 154, 155, 488, 492, 597, 602, 606, 680, 740, 845, 852, 858, 864, 870, 876, 882, 888, 894, 900, 951, 956, 958, 962, 963, 968, 970, 974, 1139, 1142, 1143, 1218, 1219, 1226, 1237, 1238, 1395, 1396, 1451, 1453, 1580, 1796",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
hour,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_audit.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\temporal.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\temporal_normalizer.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\ml_models\baseline_model.py,"28, 48, 49, 50, 56, 57, 58, 59, 60, 61, 65, 67, 84, 85, 97, 121, 127, 133, 135, 152, 153, 161, 188, 190, 250, 283, 284, 285, 299, 303, 323, 364, 366, 370, 372, 389, 394, 485, 490, 491, 493, 523, 536, 537, 563, 564, 566, 575, 645, 648, 651, 670, 705, 706, 757, 758, 762, 763, 769, 771, 772, 781, 784, 797, 803, 838, 916, 922, 930, 938, 940, 944, 946, 1095, 1096, 1136, 1138, 1140, 1141, 1183, 1186, 1187, 1194, 1235, 1236, 1272, 1280, 1295, 1334, 1340, 1514, 1522, 1529, 1572, 1575, 1578, 1585, 1588, 1591, 1594, 1597, 1611, 1612, 1635, 1888, 1892, 2084, 2088, 2100, 2102, 2111, 2112, 2117, 2118, 2142, 2144, 2174, 2175, 2180, 2181, 2264, 2267, 2499",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
minute,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,True,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_audit.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\temporal.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\temporal_normalizer.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\lag_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py; C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"7, 29, 30, 38, 41, 48, 54, 58, 63, 66, 95, 96, 99, 101, 102, 103, 105, 107, 111, 112, 113, 114, 115, 117, 119, 121, 122, 123, 124, 125, 127, 134, 137, 138, 163, 165, 167, 169, 171, 175, 177, 179, 180, 181, 183, 185, 186, 187, 189, 191, 192, 196, 198, 202, 203, 217, 219, 220, 223, 230, 231, 234, 235, 237, 238, 240, 241, 244, 247, 249, 251, 253, 255, 256, 257, 258, 259, 262, 264, 266, 268, 270, 271, 272, 274, 276, 278, 279, 280, 281, 282, 284, 288, 290, 291, 293, 295, 299, 300, 301, 303, 304, 305, 307, 308, 309, 312, 313, 317, 318, 321, 322, 325, 327, 330, 337, 343, 344, 347, 350, 362, 364, 370, 372, 373, 376, 378, 382, 384, 388, 390, 393, 395, 398, 425, 427, 429, 431, 536, 562, 577, 579, 609, 614, 628, 632, 633, 636, 637, 639, 640, 644, 645, 647, 651, 652, 653, 655, 657, 663, 671, 676, 681, 686, 691, 699, 704, 710, 716, 722, 725, 728, 731, 734, 738, 741, 746, 749, 760, 766, 767, 770, 771, 785, 787, 796, 798, 802, 804, 812, 817, 821, 827, 830, 839, 844, 849, 854, 859, 863, 867, 868, 871, 872, 878, 884, 890, 892, 893, 894, 895, 896, 897, 901, 904, 908, 911, 912, 916, 919, 921, 923, 933, 936, 945, 954, 991, 992, 994, 995, 1009, 1013, 1021, 1022, 1023, 1026, 1028, 1029, 1034, 1035, 1045, 1046, 1048, 1059, 1081, 1082, 1092, 1098, 1099, 1100, 1101, 1102, 1104, 1105, 1107, 1108, 1110, 1111, 1116, 1118, 1120, 1122, 1124, 1126, 1128, 1130, 1132, 1134, 1136, 1137, 1138, 1140, 1142, 1144, 1146, 1160, 1198, 1199, 1201, 1202, 1203, 1210, 1211, 1238, 1241, 1244, 1246, 1249, 1254, 1259, 1264, 1268, 1272, 1273, 1275, 1277, 1286, 1292, 1295, 1296, 1299, 1300, 1317, 1318, 1325, 1334, 1335, 1336, 1337, 1339, 1341, 1351, 1352, 1354, 1355, 1357, 1358, 1360, 1361, 1363, 1371, 1372, 1378, 1383, 1425, 1436, 1458, 1483, 1485, 1492, 1494, 1497, 1499, 1506, 1508, 1512, 1517, 1520, 1525, 1528, 1530, 1534, 1536, 1634, 1636, 1638, 1641, 1643, 1647, 1648, 1649, 1671, 1703, 1705, 1706, 1710, 1864, 1884, 1912, 1914, 2085, 2088, 2099, 2101, 2103, 2110, 2114, 2115, 2120, 2121, 2143, 2145, 2177, 2178, 2183, 2184, 2229, 2252, 2253, 2256, 2259, 2264, 2265, 2267, 2278, 2279, 2280, 2281, 2291, 2292, 2294, 2295, 2297, 2298, 2300, 2301, 2378",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
half_hour_slot,temporal_calendar,temporal_calendar,SAFE,HIGH,TIMESTAMP,feature-generation dependency requires review,False,False,False,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,"67, 135, 780, 781, 1138, 1279, 1280, 1295",Calendar/time features are computable from the prediction timestamp.,Document timestamp source and timezone.
