feature,classification,risk_level,metadata_column,numeric_training,numeric_validation,training_null_count,validation_null_count,future_reference_detected,target_reference_detected,negative_shift_detected,forward_window_detected,centered_window_detected,expanding_window_detected,rolling_operation_detected,lag_operation_detected,current_state_indicator,source_evidence_count,source_files,manual_review_required,reasons
year,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,14,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
month,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,25,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
quarter,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,16,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
day_of_month,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,4,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
day_of_year,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,9,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
week_of_year,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,5,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
day_of_week,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,26,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
hour,temporal_calendar,REVIEW,False,True,True,0,0,False,False,False,True,False,False,False,False,False,41,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_audit.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\temporal_normalizer.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,True,Feature lineage contains future/forward-looking terminology and requires manual temporal review.
minute,temporal_calendar,LEAKAGE,False,True,True,0,0,False,True,False,True,False,False,False,False,False,38,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\temporal.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\temporal_normalizer.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\calendar_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\lag_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py;C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Feature lineage contains target-related references.
half_hour_slot,temporal_calendar,SAFE,False,True,True,0,0,False,False,False,False,False,False,False,False,False,6,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\temporal_features.py,False,Calendar/temporal feature with no detected future dependency.
