feature,feature_index,dtype_train,dtype_validation,persisted_in_train,persisted_in_validation,classification,availability_status,leakage_status,reason,source_evidence_count,source_files,source_signals
year,1,int64,int64,True,True,temporal_calendar,SAFE,NO_CONFIRMED_LEAKAGE,"Feature is a calendar/time representation. Calendar/time feature describes the prediction timestamp and does not require future observations. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
month,2,int64,int64,True,True,temporal_calendar,SAFE,NO_CONFIRMED_LEAKAGE,"Feature is a calendar/time representation. Calendar/time feature describes the prediction timestamp and does not require future observations. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
quarter,3,int64,int64,True,True,temporal_calendar,SAFE,NO_CONFIRMED_LEAKAGE,"Feature is a calendar/time representation. Calendar/time feature describes the prediction timestamp and does not require future observations. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
day_of_month,4,int64,int64,True,True,temporal_calendar,SAFE,NO_CONFIRMED_LEAKAGE,"Feature is a calendar/time representation. Calendar/time feature describes the prediction timestamp and does not require future observations. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
day_of_year,5,int64,int64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
week_of_year,6,int64,int64,True,True,temporal_calendar,SAFE,NO_CONFIRMED_LEAKAGE,"Feature is a calendar/time representation. Calendar/time feature describes the prediction timestamp and does not require future observations. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
day_of_week,7,int64,int64,True,True,temporal_calendar,SAFE,NO_CONFIRMED_LEAKAGE,"Feature is a calendar/time representation. Calendar/time feature describes the prediction timestamp and does not require future observations. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
hour,8,int64,int64,True,True,temporal_calendar,SAFE,NO_CONFIRMED_LEAKAGE,"Feature is a calendar/time representation. Calendar/time feature describes the prediction timestamp and does not require future observations. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
minute,9,int64,int64,True,True,temporal_calendar,SAFE,NO_CONFIRMED_LEAKAGE,"Feature is a calendar/time representation. Calendar/time feature describes the prediction timestamp and does not require future observations. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
half_hour_slot,10,int64,int64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
time_slot,11,int64,int64,True,True,temporal_calendar,SAFE,NO_CONFIRMED_LEAKAGE,"Feature is a calendar/time representation. Calendar/time feature describes the prediction timestamp and does not require future observations. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
minutes_since_midnight,12,int64,int64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
minutes_since_week_start,13,int64,int64,True,True,other,REVIEW,NO_CONFIRMED_LEAKAGE,"Feature could not be confidently classified by name alone. Automated classification cannot establish prediction-time availability. No confirmed future-reference, centered-window, or target-derived feature evidence was established.",0,,
