feature,family,present_in_training,present_in_validation,dtype_training,dtype_validation,null_count_training,null_count_validation,source_evidence_count,source_files,source_lines,source_operations,source_expressions,candidate_source_columns,has_shift,has_negative_shift,has_positive_shift,has_rolling,has_centered_rolling,has_expanding,has_diff,has_pct_change,has_forward_operation,has_future_named_signal,target_context_evidence,feature_context_evidence,temporal_direction,causal_assessment,production_verdict,notes
availability_pressure,current_state,True,True,float64,float64,0,0,14,"[""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\features\\demand_features.py""]","[192, 755, 762, 767, 768, 775, 776, 1679, 1686, 1952, 2011, 2019, 2126, 2495]",[],"['add_availability_pressure: bool = True', 'if config.add_availability_pressure:', 'availability_pressure = (', 'availability_pressure', '""availability_pressure"",', 'availability_pressure,', '""availability_pressure""', '#         availability_pressure > 1', '== ""availability_pressure""', 'add_availability_pressure=True,']",[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,"[""Source reference exists, but static analysis does not prove the timestamp cutoff.""]"
availability_rate,current_state,True,True,float64,float64,0,0,205,"[""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\data\\dataset_audit.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\data\\dataset_builder.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\features\\demand_features.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\features\\feature_pipeline.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\features\\lag_features.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\features\\occupancy_features.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\features\\rolling_features.py""]","[54, 64, 99, 119, 126, 150, 163, 184, 186, 192, 238, 247, 250, 270, 271, 274, 275, 290, 291, 294, 295, 308, 331, 333, 337, 342, 348, 352, 354, 373, 384, 410, 438, 440, 451, 459, 596, 623, 627, 630, 635, 636, 638, 654, 655, 660, 680, 687, 688, 741, 752, 755, 758, 759, 762, 764, 767, 768, 775, 776, 779, 780, 783, 784, 788, 789, 792, 793, 798, 799, 800, 801, 805, 806, 812, 821, 825, 827, 831, 832, 843, 866, 867, 868, 892, 895, 896, 897, 899, 906, 911, 913, 920, 925, 926, 929, 938, 943, 947, 956, 1009, 1012, 1015, 1017, 1019, 1021, 1028, 1037, 1051, 1061, 1062, 1101, 1102, 1181, 1183, 1203, 1242, 1253, 1272, 1274, 1287, 1292, 1293, 1295, 1297, 1298, 1303, 1305, 1307, 1308, 1323, 1340, 1341, 1402, 1407, 1428, 1429, 1431, 1432, 1501, 1502, 1511, 1520, 1521, 1523, 1524, 1616, 1650, 1679, 1682, 1686, 1690, 1694, 1765, 1800, 1804, 1903, 1908, 1925, 1941, 1942, 1951, 1952, 1956, 1962, 1963, 1964, 1970, 1977, 1979, 1986, 1992, 1993, 1999, 2007, 2008, 2009, 2011, 2017, 2019, 2023, 2037, 2038, 2104, 2126, 2179, 2200, 2218, 2376, 2473, 2487, 2489, 2495]",[],"['# Target availability columns', 'availability_column: str', 'availability_ratio: float', 'availability_column,', 'availability_column', 'availability_column=(', 'availability_ratio=(', '""TARGET_AVAILABILITY_MISMATCH""', 'f""{availability_column} marks ""', '""availability_column"": (', '""TARGET_VALUE_WITHOUT_AVAILABILITY""', 'f""({target.availability_ratio:.2%})""', '# Availability', '- records target availability', 'availability_rate: float', '# Availability flags.', 'availability_column: str,', '# target availability columns remain authoritative.', 'availability_rate = (', 'availability_rate=(', 'availability_rate', '""availability_percentage"": (', 'availability_rate * 100.0', 'availability_columns = [', 'availability_matrix = (', 'availability_columns', 'availability_matrix.sum(', 'low_availability_threshold: float = 0.10', 'critical_availability_threshold: float = 0.05', 'add_availability_pressure: bool = True', '""low_availability_threshold"",', 'self.low_availability_threshold,', '""critical_availability_threshold"",', 'self.critical_availability_threshold,', 'self.low_availability_threshold', '< self.critical_availability_threshold', '""critical_availability_threshold ""', '""must be <= low_availability_threshold.""', 'low_availability_count: int', 'critical_availability_count: int', 'calculated_availability_rate = (', 'calculated_availability_rate', '# Availability pressure', 'if config.add_availability_pressure:', '""availability_rate"",', 'calculated_availability_rate,', 'availability_pressure = (', '- calculated_availability_rate', 'availability_pressure', '""availability_pressure"",', 'availability_pressure,', 'low_availability = (', '<= config.low_availability_threshold', 'critical_availability = (', '<= config.critical_availability_threshold', '""is_low_availability"",', 'low_availability.astype(', '""is_critical_availability"",', 'critical_availability.astype(', 'low_availability_count = int(', 'calculated_availability_rate.notna()', 'critical_availability_count = int(', '""low_availability"":', 'config.low_availability_threshold,', '""critical_availability"":', 'config.critical_availability_threshold,', 'low_availability_count=', 'low_availability_count,', 'critical_availability_count=', 'critical_availability_count,', '""availability_rate""', '""availability_pressure""', '""is_low_availability""', '""is_critical_availability""', 'bounds for availability-related ratios.', 'expected out-of-range availability values are permitted and', '#         availability_rate < 0', '#         availability_pressure > 1', '== ""availability_pressure""', 'low_availability_threshold=0.10,', 'critical_availability_threshold=0.05,', 'add_availability_pressure=True,', 'DEFAULT_TARGET_AVAILABILITY_COLUMNS = (', 'target_availability_columns: tuple[', 'DEFAULT_TARGET_AVAILABILITY_COLUMNS', 'self.target_availability_columns', '""target_availability_columns contains duplicates.""', 'target_availability_count: int', 'target_availability_columns = tuple(', 'config.target_availability_columns', '# These describe target availability/exclusion but are', 'target_availability_columns', 'if availability_columns:', 'availability_frame = (', 'availability_frame.sum(', '""target_availability_count"":', 'target_availability_count=', 'target_availability_columns=(', 'result.target_availability_columns', '+ config.target_availability_columns', 'add_availability_features: bool = True', 'lag_availability_feature_count: int', 'availability_columns: tuple[str, ...]', 'availability_columns: list[str] = []', 'availability_name = (', 'availability_series = pd.Series(', '# Availability requires:', 'availability_series.loc[', 'availability_series = (', 'availability_series', '.add_availability_features', 'availability_name', 'availability_columns.append(', '~availability_series', '# Calculate availability statistics.', 'total_availability_features = (', '== total_availability_features', '< total_availability_features', '~availability_matrix', 'lag_availability_feature_count=', 'len(availability_columns),', 'availability_columns=tuple(', 'availability', 'add_availability_features=True,', 'availability_inconsistency_count: int', 'availability_rate.copy()', 'availability_rate.clip(', '] = availability_rate', 'availability_inconsistency_mask = (', 'availability_inconsistency_count = int(', 'availability_inconsistency_mask.sum()', '& ~availability_inconsistency_mask', 'availability_inconsistency_count=(', 'availability_inconsistency_count', 'Additional availability indicators are generated so that', 'add_availability_flags: bool = True', 'rolling_availability_feature_count: int', 'if self._config.add_availability_flags:', 'rolling_availability_feature_count=len(', 'if config.add_availability_flags:']",[],False,False,False,False,False,False,False,False,False,False,True,True,UNKNOWN,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,"[""Source reference exists, but static analysis does not prove the timestamp cutoff.""]"
available_ratio,current_state,True,True,float64,float64,0,0,307,"[""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\data\\dataset_audit.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\data\\dataset_builder.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\data\\loaders.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\data\\sources\\local\\csv.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\data\\temporal_normalizer.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\data\\transformers.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\features\\demand_features.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\features\\feature_pipeline.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\features\\lag_features.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\features\\occupancy_features.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\features\\rolling_features.py"", ""C:\\agano\\Oshwal\\docs\\Project\\smart-parking-system\\backend\\app\\ml\\ml_models\\baseline_model.py""]","[23, 46, 51, 57, 66, 87, 88, 90, 92, 96, 97, 109, 120, 122, 123, 126, 127, 128, 130, 131, 134, 135, 150, 153, 154, 157, 158, 159, 161, 162, 164, 165, 166, 167, 174, 178, 191, 192, 227, 229, 236, 237, 248, 249, 283, 320, 322, 324, 332, 363, 434, 436, 455, 457, 463, 465, 467, 469, 476, 478, 501, 503, 504, 514, 516, 546, 547, 551, 552, 553, 580, 590, 595, 625, 631, 637, 642, 662, 668, 669, 695, 696, 697, 707, 721, 764, 777, 782, 784, 785, 787, 791, 793, 794, 799, 803, 805, 808, 823, 824, 825, 826, 849, 868, 888, 889, 890, 891, 901, 905, 909, 910, 911, 913, 917, 919, 924, 926, 928, 936, 939, 941, 948, 949, 951, 957, 973, 990, 993, 996, 999, 1001, 1027, 1035, 1045, 1049, 1054, 1058, 1059, 1079, 1080, 1082, 1083, 1085, 1086, 1089, 1094, 1095, 1101, 1104, 1112, 1140, 1160, 1232, 1250, 1255, 1276, 1289, 1292, 1294, 1320, 1325, 1365, 1366, 1372, 1377, 1382, 1384, 1387, 1405, 1415, 1421, 1422, 1425, 1427, 1431, 1436, 1449, 1479, 1484, 1486, 1505, 1506, 1508, 1509, 1557, 1561, 1562, 1573, 1589, 1603, 1625, 1630, 1635, 1640, 1662, 1677, 1680, 1684, 1687, 1691, 1692, 1696, 1700, 1704, 1708, 1709, 1711, 1713, 1714, 1717, 1719, 1721, 1759, 1760, 1761, 1762, 1768, 1842, 1843, 1844, 1845, 1885, 1889, 1893, 1897, 1906, 1916, 1917, 1920, 1922, 1926, 1935, 1936, 1938, 1939, 1942, 1945, 1946, 1950, 1960, 1963, 1971, 1972, 1973, 1974, 1976, 1981, 1983, 1985, 1987, 1988, 1991, 1995, 1996, 1999, 2000, 2001, 2003, 2004, 2005, 2011, 2018, 2026, 2028, 2030, 2031, 2033, 2034, 2036, 2038, 2041, 2043, 2132, 2160, 2172, 2200, 2219, 2220, 2221, 2222, 2224, 2268, 2366, 2374, 2460, 2469, 2470, 2474, 2475, 2476, 2477]",[],"['- Why are targets unavailable?', 'AVAILABLE_SPACES_COLUMN = ""available_spaces""', 'TARGET_30M_AVAILABLE_COLUMN = (', '""target_30m_available""', 'TARGET_1H_AVAILABLE_COLUMN = (', '""target_1h_available""', 'TARGET_2H_AVAILABLE_COLUMN = (', '""target_2h_available""', 'TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN = (', '""target_tomorrow_morning_available""', 'available_count: int', 'unavailable_count: int', 'TARGET_30M_AVAILABLE_COLUMN,', 'TARGET_1H_AVAILABLE_COLUMN,', 'TARGET_2H_AVAILABLE_COLUMN,', 'TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN,', 'TARGET_30M_AVAILABLE_COLUMN', 'TARGET_1H_AVAILABLE_COLUMN', 'TARGET_2H_AVAILABLE_COLUMN', 'TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN', 'available = (', 'available,', 'available_count = int(', 'available.sum()', 'unavailable_count = (', '- available_count', 'available_count / total', 'available_count=(', 'available_count', 'unavailable_count=(', 'unavailable_count', '""available"": (', 'inconsistent_available = int(', 'available', 'inconsistent_unavailable = int(', '~available', 'if inconsistent_available:', 'f""{inconsistent_available} rows ""', '""as available although the target ""', 'inconsistent_available', 'if inconsistent_unavailable:', 'f""{inconsistent_unavailable} ""', '""values marked as unavailable.""', 'inconsistent_unavailable', '""are available.""', 'f""{target.available_count:8,d} / ""', '""AVAILABLE_SPACES_COLUMN"",', '""TARGET_30M_AVAILABLE_COLUMN"",', '""TARGET_1H_AVAILABLE_COLUMN"",', '""TARGET_2H_AVAILABLE_COLUMN"",', '""TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN"",', 'TOMORROW_MORNING_UNAVAILABLE = (', '""TOMORROW_MORNING_UNAVAILABLE""', 'available_targets: int', 'unavailable_targets: int', 'target_30m_available: int', 'target_1h_available: int', 'target_2h_available: int', 'target_tomorrow_morning_available: int', '# available.', '# Current observation unavailable.', '# Future observation unavailable.', 'target_available = (', 'target_available,', 'target_available', '# Mark unavailable tomorrow-morning targets.', 'unavailable = (', '& ~target_available', 'unavailable,', '.TOMORROW_MORNING_UNAVAILABLE', 'available_targets=(', 'unavailable_targets=(', 'available_target_count = (', 'available_target_count.eq(', 'available_target_count.gt(0)', '& available_target_count.lt(', 'available_target_count.eq(0).sum()', 'target_30m_available=int(', 'target_1h_available=int(', 'target_2h_available=int(', 'target_tomorrow_morning_available=int(', 'Registry of available source-family loaders.', 'def available_sources(', 'Return the names of available local datasets.', 'AVAILABLE_SPACES_COLUMN,', 'available_columns = [', 'available_columns', 'available_spaces', 'AVAILABLE_SPACES = ""available_spaces""', 'CanonicalColumn.AVAILABLE_SPACES.value,', '# Available spaces', 'CanonicalColumn.AVAILABLE_SPACES.value', 'DEFAULT_AVAILABLE_SPACES_COLUMN = (', '""available_spaces""', 'available_spaces_column: str = (', 'DEFAULT_AVAILABLE_SPACES_COLUMN', 'if not self.available_spaces_column:', '""available_spaces_column cannot be empty.""', 'negative_available_count: int', 'available_spaces = _numeric_series(', 'config.available_spaces_column,', 'negative_available = (', 'available_spaces < 0', '#   occupied + available = capacity', '& available_spaces.notna()', '+ available_spaces', '| negative_available', 'negative_available_count=', 'negative_available.sum()', '.available_spaces_column,', 'available_spaces_column=(', '""target_30m_available"",', '""target_1h_available"",', '""target_2h_available"",', '""target_tomorrow_morning_available"",', '""available_spaces"",', 'target_available_count = (', 'target_available_count', '""available_spaces"": [', '""target_30m_available"": [', '""target_1h_available"": [', '""target_2h_available"": [', '""target_tomorrow_morning_available"": [', '# when available.', 'unavailable_lag_values: int', 'fully_available_rows: int', 'partially_available_rows: int', 'f""_lag_{label}_available""', '# remains unavailable.', '] = available.astype(', 'available_per_row = (', 'fully_available_rows = int(', 'available_per_row', 'partially_available_rows = int(', '(available_per_row > 0)', 'unavailable_lag_values = int(', 'fully_available_rows = 0', 'partially_available_rows = 0', 'unavailable_lag_values = 0', 'unavailable_lag_values=', 'unavailable_lag_values,', 'fully_available_rows=', 'fully_available_rows,', 'partially_available_rows=', 'partially_available_rows,', '""_available""', 'available_ratio', 'DEFAULT_AVAILABLE_SPACES_COLUMN = ""available_spaces""', '""available_ratio"",', 'available_spaces_column:', 'Column containing currently available spaces.', 'self.available_spaces_column,', 'invalid_available_spaces_count: int', 'available_spaces = self._to_numeric(', 'self._config.available_spaces_column', 'invalid_available_spaces_count = int(', 'available_spaces.isna().sum()', '] = available_spaces', 'available_spaces,', 'available_ratio = (', 'available_ratio.copy()', 'available_ratio.clip(', '""available_ratio""', '] = available_ratio', '# Do not count cases where either side is unavailable.', '& (available_spaces >= 0)', 'invalid_available_spaces_count=(', 'invalid_available_spaces_count', 'self._config.available_spaces_column,', 'available = pd.to_numeric(', 'dataframe[""available_spaces""],', '+ available', '""occupied_spaces + available_spaces ""', '""DEFAULT_AVAILABLE_SPACES_COLUMN"",', 'understand how much actual historical data was available.', 'available_name = (', 'f""_roll_{label}_available""', 'available_name', 'Predicts using the most recent observed target/input value available', '""Seasonal-naive history is unavailable.""']","[""available_spaces""]",False,False,False,False,False,False,False,False,False,False,True,True,UNKNOWN,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,"[""Source reference exists, but static analysis does not prove the timestamp cutoff.""]"
available_spaces_lag_12h,historical,True,True,float64,float64,23244,4980,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_lag_1d,historical,True,True,float64,float64,1428,600,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_lag_1h,historical,True,True,float64,float64,2731,617,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_lag_2h,historical,True,True,float64,float64,5467,1207,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_lag_30m,historical,True,True,float64,float64,1438,324,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_lag_3h,historical,True,True,float64,float64,8241,1800,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
available_spaces_lag_6h,historical,True,True,float64,float64,16535,3577,0,[],[],[],[],[],False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,REQUIRES_CAUSAL_REVIEW,"[""No sufficiently direct source-code lineage was identified.""]"
